tournament,year,stage,date,home_team,home_score,away_team,away_score,neutral
1978 FIFA Men's World Cup,1978,Group A,1978-06-21,Austria,3,West Germany,2,1
1978 FIFA Men's World Cup,1978,Group A,1978-06-21,Italy,1,Netherlands,2,1
1978 FIFA Men's World Cup,1978,Group B,1978-06-21,Argentina,6,Peru,0,0
1978 FIFA Men's World Cup,1978,Group B,1978-06-21,Brazil,3,Poland,1,1
1978 FIFA Men's World Cup,1978,third-place match,1978-06-24,Brazil,2,Italy,1,1
1978 FIFA Men's World Cup,1978,final,1978-06-25,Argentina,3,Netherlands,1,0
1982 FIFA Men's World Cup,1982,Group 3,1982-06-13,Argentina,0,Belgium,1,1
1982 FIFA Men's World Cup,1982,Group 1,1982-06-14,Italy,0,Poland,0,1
1982 FIFA Men's World Cup,1982,Group 6,1982-06-14,Brazil,2,Soviet Union,1,1
1982 FIFA Men's World Cup,1982,Group 1,1982-06-15,Peru,0,Cameroon,0,1
1982 FIFA Men's World Cup,1982,Group 3,1982-06-15,Hungary,10,El Salvador,1,1
1982 FIFA Men's World Cup,1982,Group 6,1982-06-15,Scotland,5,New Zealand,2,1
1982 FIFA Men's World Cup,1982,Group 2,1982-06-16,West Germany,1,Algeria,2,1
1982 FIFA Men's World Cup,1982,Group 4,1982-06-16,England,3,France,1,1
1982 FIFA Men's World Cup,1982,Group 5,1982-06-16,Spain,1,Honduras,1,0
1982 FIFA Men's World Cup,1982,Group 2,1982-06-17,Chile,0,Austria,1,1
1982 FIFA Men's World Cup,1982,Group 4,1982-06-17,Czechoslovakia,1,Kuwait,1,1
1982 FIFA Men's World Cup,1982,Group 5,1982-06-17,Yugoslavia,0,Northern Ireland,0,1
1982 FIFA Men's World Cup,1982,Group 1,1982-06-18,Italy,1,Peru,1,1
1982 FIFA Men's World Cup,1982,Group 3,1982-06-18,Argentina,4,Hungary,1,1
1982 FIFA Men's World Cup,1982,Group 6,1982-06-18,Brazil,4,Scotland,1,1
1982 FIFA Men's World Cup,1982,Group 1,1982-06-19,Poland,0,Cameroon,0,1
1982 FIFA Men's World Cup,1982,Group 3,1982-06-19,Belgium,1,El Salvador,0,1
1982 FIFA Men's World Cup,1982,Group 6,1982-06-19,Soviet Union,3,New Zealand,0,1
1982 FIFA Men's World Cup,1982,Group 2,1982-06-20,West Germany,4,Chile,1,1
1982 FIFA Men's World Cup,1982,Group 4,1982-06-20,England,2,Czechoslovakia,0,1
1982 FIFA Men's World Cup,1982,Group 5,1982-06-20,Spain,2,Yugoslavia,1,0
1982 FIFA Men's World Cup,1982,Group 2,1982-06-21,Algeria,0,Austria,2,1
1982 FIFA Men's World Cup,1982,Group 4,1982-06-21,France,4,Kuwait,1,1
1982 FIFA Men's World Cup,1982,Group 5,1982-06-21,Honduras,1,Northern Ireland,1,1
1982 FIFA Men's World Cup,1982,Group 1,1982-06-22,Poland,5,Peru,1,1
1982 FIFA Men's World Cup,1982,Group 3,1982-06-22,Belgium,1,Hungary,1,1
1982 FIFA Men's World Cup,1982,Group 6,1982-06-22,Soviet Union,2,Scotland,2,1
1982 FIFA Men's World Cup,1982,Group 1,1982-06-23,Italy,1,Cameroon,1,1
1982 FIFA Men's World Cup,1982,Group 3,1982-06-23,Argentina,2,El Salvador,0,1
1982 FIFA Men's World Cup,1982,Group 6,1982-06-23,Brazil,4,New Zealand,0,1
1982 FIFA Men's World Cup,1982,Group 2,1982-06-24,Algeria,3,Chile,2,1
1982 FIFA Men's World Cup,1982,Group 4,1982-06-24,France,1,Czechoslovakia,1,1
1982 FIFA Men's World Cup,1982,Group 5,1982-06-24,Honduras,0,Yugoslavia,1,1
1982 FIFA Men's World Cup,1982,Group 2,1982-06-25,West Germany,1,Austria,0,1
1982 FIFA Men's World Cup,1982,Group 4,1982-06-25,England,1,Kuwait,0,1
1982 FIFA Men's World Cup,1982,Group 5,1982-06-25,Spain,0,Northern Ireland,1,0
1982 FIFA Men's World Cup,1982,Group 1,1982-06-28,Poland,3,Belgium,0,1
1982 FIFA Men's World Cup,1982,Group 4,1982-06-28,Austria,0,France,1,1
1982 FIFA Men's World Cup,1982,Group 2,1982-06-29,West Germany,0,England,0,1
1982 FIFA Men's World Cup,1982,Group 3,1982-06-29,Italy,2,Argentina,1,1
1982 FIFA Men's World Cup,1982,Group 1,1982-07-01,Belgium,0,Soviet Union,1,1
1982 FIFA Men's World Cup,1982,Group 4,1982-07-01,Austria,2,Northern Ireland,2,1
1982 FIFA Men's World Cup,1982,Group 2,1982-07-02,West Germany,2,Spain,1,1
1982 FIFA Men's World Cup,1982,Group 3,1982-07-02,Argentina,1,Brazil,3,1
1982 FIFA Men's World Cup,1982,Group 1,1982-07-04,Soviet Union,0,Poland,0,1
1982 FIFA Men's World Cup,1982,Group 4,1982-07-04,France,4,Northern Ireland,1,1
1982 FIFA Men's World Cup,1982,Group 2,1982-07-05,Spain,0,England,0,0
1982 FIFA Men's World Cup,1982,Group 3,1982-07-05,Italy,3,Brazil,2,1
1982 FIFA Men's World Cup,1982,semi-finals,1982-07-08,Poland,0,Italy,2,1
1982 FIFA Men's World Cup,1982,semi-finals,1982-07-08,West Germany,3,France,3,1
1982 FIFA Men's World Cup,1982,third-place match,1982-07-10,Poland,3,France,2,1
1982 FIFA Men's World Cup,1982,final,1982-07-11,Italy,3,West Germany,1,1
1986 FIFA Men's World Cup,1986,Group A,1986-05-31,Bulgaria,1,Italy,1,1
1986 FIFA Men's World Cup,1986,Group C,1986-06-01,Canada,0,France,1,1
1986 FIFA Men's World Cup,1986,Group D,1986-06-01,Spain,0,Brazil,1,1
1986 FIFA Men's World Cup,1986,Group A,1986-06-02,Argentina,3,South Korea,1,1
1986 FIFA Men's World Cup,1986,Group C,1986-06-02,Soviet Union,6,Hungary,0,1
1986 FIFA Men's World Cup,1986,Group F,1986-06-02,Morocco,0,Poland,0,1
1986 FIFA Men's World Cup,1986,Group B,1986-06-03,Belgium,1,Mexico,2,1
1986 FIFA Men's World Cup,1986,Group D,1986-06-03,Algeria,1,Northern Ireland,1,1
1986 FIFA Men's World Cup,1986,Group F,1986-06-03,Portugal,1,England,0,1
1986 FIFA Men's World Cup,1986,Group B,1986-06-04,Paraguay,1,Iraq,0,1
1986 FIFA Men's World Cup,1986,Group E,1986-06-04,Scotland,0,Denmark,1,1
1986 FIFA Men's World Cup,1986,Group E,1986-06-04,Uruguay,1,West Germany,1,1
1986 FIFA Men's World Cup,1986,Group A,1986-06-05,Italy,1,Argentina,1,1
1986 FIFA Men's World Cup,1986,Group A,1986-06-05,South Korea,1,Bulgaria,1,1
1986 FIFA Men's World Cup,1986,Group C,1986-06-05,France,1,Soviet Union,1,1
1986 FIFA Men's World Cup,1986,Group C,1986-06-06,Hungary,2,Canada,0,1
1986 FIFA Men's World Cup,1986,Group D,1986-06-06,Brazil,1,Algeria,0,1
1986 FIFA Men's World Cup,1986,Group F,1986-06-06,England,0,Morocco,0,1
1986 FIFA Men's World Cup,1986,Group B,1986-06-07,Mexico,1,Paraguay,1,0
1986 FIFA Men's World Cup,1986,Group D,1986-06-07,Northern Ireland,1,Spain,2,1
1986 FIFA Men's World Cup,1986,Group F,1986-06-07,Poland,1,Portugal,0,1
1986 FIFA Men's World Cup,1986,Group B,1986-06-08,Iraq,1,Belgium,2,1
1986 FIFA Men's World Cup,1986,Group E,1986-06-08,Denmark,6,Uruguay,1,1
1986 FIFA Men's World Cup,1986,Group E,1986-06-08,West Germany,2,Scotland,1,1
1986 FIFA Men's World Cup,1986,Group C,1986-06-09,Hungary,0,France,3,1
1986 FIFA Men's World Cup,1986,Group C,1986-06-09,Soviet Union,2,Canada,0,1
1986 FIFA Men's World Cup,1986,Group A,1986-06-10,Argentina,2,Bulgaria,0,1
1986 FIFA Men's World Cup,1986,Group A,1986-06-10,South Korea,2,Italy,3,1
1986 FIFA Men's World Cup,1986,Group B,1986-06-11,Iraq,0,Mexico,1,1
1986 FIFA Men's World Cup,1986,Group B,1986-06-11,Paraguay,2,Belgium,2,1
1986 FIFA Men's World Cup,1986,Group F,1986-06-11,England,3,Poland,0,1
1986 FIFA Men's World Cup,1986,Group F,1986-06-11,Portugal,1,Morocco,3,1
1986 FIFA Men's World Cup,1986,Group D,1986-06-12,Algeria,0,Spain,3,1
1986 FIFA Men's World Cup,1986,Group D,1986-06-12,Northern Ireland,0,Brazil,3,1
1986 FIFA Men's World Cup,1986,Group E,1986-06-13,Denmark,2,West Germany,0,1
1986 FIFA Men's World Cup,1986,Group E,1986-06-13,Scotland,0,Uruguay,0,1
1986 FIFA Men's World Cup,1986,round of 16,1986-06-15,Mexico,2,Bulgaria,0,0
1986 FIFA Men's World Cup,1986,round of 16,1986-06-15,Soviet Union,3,Belgium,4,1
1986 FIFA Men's World Cup,1986,round of 16,1986-06-16,Argentina,1,Uruguay,0,1
1986 FIFA Men's World Cup,1986,round of 16,1986-06-16,Brazil,4,Poland,0,1
1986 FIFA Men's World Cup,1986,round of 16,1986-06-17,Italy,0,France,2,1
1986 FIFA Men's World Cup,1986,round of 16,1986-06-17,Morocco,0,West Germany,1,1
1986 FIFA Men's World Cup,1986,round of 16,1986-06-18,Denmark,1,Spain,5,1
1986 FIFA Men's World Cup,1986,round of 16,1986-06-18,England,3,Paraguay,0,1
1986 FIFA Men's World Cup,1986,quarter-finals,1986-06-21,Brazil,1,France,1,1
1986 FIFA Men's World Cup,1986,quarter-finals,1986-06-21,West Germany,0,Mexico,0,1
1986 FIFA Men's World Cup,1986,quarter-finals,1986-06-22,Argentina,2,England,1,1
1986 FIFA Men's World Cup,1986,quarter-finals,1986-06-22,Spain,1,Belgium,1,1
1986 FIFA Men's World Cup,1986,semi-finals,1986-06-25,Argentina,2,Belgium,0,1
1986 FIFA Men's World Cup,1986,semi-finals,1986-06-25,France,0,West Germany,2,1
1986 FIFA Men's World Cup,1986,third-place match,1986-06-28,Belgium,2,France,4,1
1986 FIFA Men's World Cup,1986,final,1986-06-29,Argentina,3,West Germany,2,1
1990 FIFA Men's World Cup,1990,Group B,1990-06-08,Argentina,0,Cameroon,1,1
1990 FIFA Men's World Cup,1990,Group A,1990-06-09,Italy,1,Austria,0,0
1990 FIFA Men's World Cup,1990,Group B,1990-06-09,Soviet Union,0,Romania,2,1
1990 FIFA Men's World Cup,1990,Group D,1990-06-09,United Arab Emirates,0,Colombia,2,1
1990 FIFA Men's World Cup,1990,Group A,1990-06-10,United States,1,Czechoslovakia,5,1
1990 FIFA Men's World Cup,1990,Group C,1990-06-10,Brazil,2,Sweden,1,1
1990 FIFA Men's World Cup,1990,Group D,1990-06-10,West Germany,4,Yugoslavia,1,1
1990 FIFA Men's World Cup,1990,Group C,1990-06-11,Costa Rica,1,Scotland,0,1
1990 FIFA Men's World Cup,1990,Group F,1990-06-11,England,1,Republic of Ireland,1,1
1990 FIFA Men's World Cup,1990,Group E,1990-06-12,Belgium,2,South Korea,0,1
1990 FIFA Men's World Cup,1990,Group F,1990-06-12,Netherlands,1,Egypt,1,1
1990 FIFA Men's World Cup,1990,Group B,1990-06-13,Argentina,2,Soviet Union,0,1
1990 FIFA Men's World Cup,1990,Group E,1990-06-13,Uruguay,0,Spain,0,1
1990 FIFA Men's World Cup,1990,Group A,1990-06-14,Italy,1,United States,0,0
1990 FIFA Men's World Cup,1990,Group B,1990-06-14,Cameroon,2,Romania,1,1
1990 FIFA Men's World Cup,1990,Group D,1990-06-14,Yugoslavia,1,Colombia,0,1
1990 FIFA Men's World Cup,1990,Group A,1990-06-15,Austria,0,Czechoslovakia,1,1
1990 FIFA Men's World Cup,1990,Group D,1990-06-15,West Germany,5,United Arab Emirates,1,1
1990 FIFA Men's World Cup,1990,Group C,1990-06-16,Brazil,1,Costa Rica,0,1
1990 FIFA Men's World Cup,1990,Group C,1990-06-16,Sweden,1,Scotland,2,1
1990 FIFA Men's World Cup,1990,Group F,1990-06-16,England,0,Netherlands,0,1
1990 FIFA Men's World Cup,1990,Group E,1990-06-17,Belgium,3,Uruguay,1,1
1990 FIFA Men's World Cup,1990,Group E,1990-06-17,South Korea,1,Spain,3,1
1990 FIFA Men's World Cup,1990,Group F,1990-06-17,Republic of Ireland,0,Egypt,0,1
1990 FIFA Men's World Cup,1990,Group B,1990-06-18,Argentina,1,Romania,1,1
1990 FIFA Men's World Cup,1990,Group B,1990-06-18,Cameroon,0,Soviet Union,4,1
1990 FIFA Men's World Cup,1990,Group A,1990-06-19,Austria,2,United States,1,1
1990 FIFA Men's World Cup,1990,Group A,1990-06-19,Italy,2,Czechoslovakia,0,0
1990 FIFA Men's World Cup,1990,Group D,1990-06-19,West Germany,1,Colombia,1,1
1990 FIFA Men's World Cup,1990,Group D,1990-06-19,Yugoslavia,4,United Arab Emirates,1,1
1990 FIFA Men's World Cup,1990,Group C,1990-06-20,Brazil,1,Scotland,0,1
1990 FIFA Men's World Cup,1990,Group C,1990-06-20,Sweden,1,Costa Rica,2,1
1990 FIFA Men's World Cup,1990,Group E,1990-06-21,Belgium,1,Spain,2,1
1990 FIFA Men's World Cup,1990,Group E,1990-06-21,South Korea,0,Uruguay,1,1
1990 FIFA Men's World Cup,1990,Group F,1990-06-21,England,1,Egypt,0,1
1990 FIFA Men's World Cup,1990,Group F,1990-06-21,Republic of Ireland,1,Netherlands,1,1
1990 FIFA Men's World Cup,1990,round of 16,1990-06-23,Cameroon,2,Colombia,1,1
1990 FIFA Men's World Cup,1990,round of 16,1990-06-23,Czechoslovakia,4,Costa Rica,1,1
1990 FIFA Men's World Cup,1990,round of 16,1990-06-24,Brazil,0,Argentina,1,1
1990 FIFA Men's World Cup,1990,round of 16,1990-06-24,West Germany,2,Netherlands,1,1
1990 FIFA Men's World Cup,1990,round of 16,1990-06-25,Italy,2,Uruguay,0,0
1990 FIFA Men's World Cup,1990,round of 16,1990-06-25,Republic of Ireland,0,Romania,0,1
1990 FIFA Men's World Cup,1990,round of 16,1990-06-26,England,1,Belgium,0,1
1990 FIFA Men's World Cup,1990,round of 16,1990-06-26,Spain,1,Yugoslavia,2,1
1990 FIFA Men's World Cup,1990,quarter-finals,1990-06-30,Argentina,0,Yugoslavia,0,1
1990 FIFA Men's World Cup,1990,quarter-finals,1990-06-30,Republic of Ireland,0,Italy,1,1
1990 FIFA Men's World Cup,1990,quarter-finals,1990-07-01,Cameroon,2,England,3,1
1990 FIFA Men's World Cup,1990,quarter-finals,1990-07-01,Czechoslovakia,0,West Germany,1,1
1990 FIFA Men's World Cup,1990,semi-finals,1990-07-03,Argentina,1,Italy,1,1
1990 FIFA Men's World Cup,1990,semi-finals,1990-07-04,West Germany,1,England,1,1
1990 FIFA Men's World Cup,1990,third-place match,1990-07-07,Italy,2,England,1,0
1990 FIFA Men's World Cup,1990,final,1990-07-08,West Germany,1,Argentina,0,1
1991 FIFA Women's World Cup,1991,Group A,1991-11-16,China,4,Norway,0,0
1991 FIFA Women's World Cup,1991,Group A,1991-11-17,Denmark,3,New Zealand,0,1
1991 FIFA Women's World Cup,1991,Group B,1991-11-17,Japan,0,Brazil,1,1
1991 FIFA Women's World Cup,1991,Group B,1991-11-17,Sweden,2,United States,3,1
1991 FIFA Women's World Cup,1991,Group C,1991-11-17,Chinese Taipei,0,Italy,5,1
1991 FIFA Women's World Cup,1991,Group C,1991-11-17,Germany,4,Nigeria,0,1
1991 FIFA Women's World Cup,1991,Group A,1991-11-19,China,2,Denmark,2,0
1991 FIFA Women's World Cup,1991,Group A,1991-11-19,Norway,4,New Zealand,0,1
1991 FIFA Women's World Cup,1991,Group B,1991-11-19,Brazil,0,United States,5,1
1991 FIFA Women's World Cup,1991,Group B,1991-11-19,Japan,0,Sweden,8,1
1991 FIFA Women's World Cup,1991,Group C,1991-11-19,Chinese Taipei,0,Germany,3,1
1991 FIFA Women's World Cup,1991,Group C,1991-11-19,Italy,1,Nigeria,0,1
1991 FIFA Women's World Cup,1991,Group A,1991-11-21,China,4,New Zealand,1,0
1991 FIFA Women's World Cup,1991,Group A,1991-11-21,Norway,2,Denmark,1,1
1991 FIFA Women's World Cup,1991,Group B,1991-11-21,Brazil,0,Sweden,2,1
1991 FIFA Women's World Cup,1991,Group B,1991-11-21,Japan,0,United States,3,1
1991 FIFA Women's World Cup,1991,Group C,1991-11-21,Chinese Taipei,2,Nigeria,0,1
1991 FIFA Women's World Cup,1991,Group C,1991-11-21,Italy,0,Germany,2,1
1991 FIFA Women's World Cup,1991,quarter-final,1991-11-24,China,0,Sweden,1,0
1991 FIFA Women's World Cup,1991,quarter-final,1991-11-24,Denmark,1,Germany,2,1
1991 FIFA Women's World Cup,1991,quarter-final,1991-11-24,Norway,3,Italy,2,1
1991 FIFA Women's World Cup,1991,quarter-final,1991-11-24,United States,7,Chinese Taipei,0,1
1991 FIFA Women's World Cup,1991,semi-final,1991-11-27,Germany,2,United States,5,1
1991 FIFA Women's World Cup,1991,semi-final,1991-11-27,Sweden,1,Norway,4,1
1991 FIFA Women's World Cup,1991,third-place match,1991-11-29,Sweden,4,Germany,0,1
1991 FIFA Women's World Cup,1991,final,1991-11-30,Norway,1,United States,2,1
1994 FIFA Men's World Cup,1994,Group C,1994-06-17,Germany,1,Bolivia,0,1
1994 FIFA Men's World Cup,1994,Group C,1994-06-17,Spain,2,South Korea,2,1
1994 FIFA Men's World Cup,1994,Group A,1994-06-18,Colombia,1,Romania,3,1
1994 FIFA Men's World Cup,1994,Group A,1994-06-18,United States,1,Switzerland,1,0
1994 FIFA Men's World Cup,1994,Group E,1994-06-18,Italy,0,Republic of Ireland,1,1
1994 FIFA Men's World Cup,1994,Group B,1994-06-19,Cameroon,2,Sweden,2,1
1994 FIFA Men's World Cup,1994,Group E,1994-06-19,Norway,1,Mexico,0,1
1994 FIFA Men's World Cup,1994,Group F,1994-06-19,Belgium,1,Morocco,0,1
1994 FIFA Men's World Cup,1994,Group B,1994-06-20,Brazil,2,Russia,0,1
1994 FIFA Men's World Cup,1994,Group F,1994-06-20,Netherlands,2,Saudi Arabia,1,1
1994 FIFA Men's World Cup,1994,Group C,1994-06-21,Germany,1,Spain,1,1
1994 FIFA Men's World Cup,1994,Group D,1994-06-21,Argentina,4,Greece,0,1
1994 FIFA Men's World Cup,1994,Group D,1994-06-21,Nigeria,3,Bulgaria,0,1
1994 FIFA Men's World Cup,1994,Group A,1994-06-22,Romania,1,Switzerland,4,1
1994 FIFA Men's World Cup,1994,Group A,1994-06-22,United States,2,Colombia,1,0
1994 FIFA Men's World Cup,1994,Group C,1994-06-23,South Korea,0,Bolivia,0,1
1994 FIFA Men's World Cup,1994,Group E,1994-06-23,Italy,1,Norway,0,1
1994 FIFA Men's World Cup,1994,Group B,1994-06-24,Brazil,3,Cameroon,0,1
1994 FIFA Men's World Cup,1994,Group B,1994-06-24,Sweden,3,Russia,1,1
1994 FIFA Men's World Cup,1994,Group E,1994-06-24,Mexico,2,Republic of Ireland,1,1
1994 FIFA Men's World Cup,1994,Group D,1994-06-25,Argentina,2,Nigeria,1,1
1994 FIFA Men's World Cup,1994,Group F,1994-06-25,Belgium,1,Netherlands,0,1
1994 FIFA Men's World Cup,1994,Group F,1994-06-25,Saudi Arabia,2,Morocco,1,1
1994 FIFA Men's World Cup,1994,Group A,1994-06-26,Switzerland,0,Colombia,2,1
1994 FIFA Men's World Cup,1994,Group A,1994-06-26,United States,0,Romania,1,0
1994 FIFA Men's World Cup,1994,Group D,1994-06-26,Bulgaria,4,Greece,0,1
1994 FIFA Men's World Cup,1994,Group C,1994-06-27,Bolivia,1,Spain,3,1
1994 FIFA Men's World Cup,1994,Group C,1994-06-27,Germany,3,South Korea,2,1
1994 FIFA Men's World Cup,1994,Group B,1994-06-28,Brazil,1,Sweden,1,1
1994 FIFA Men's World Cup,1994,Group B,1994-06-28,Russia,6,Cameroon,1,1
1994 FIFA Men's World Cup,1994,Group E,1994-06-28,Italy,1,Mexico,1,1
1994 FIFA Men's World Cup,1994,Group E,1994-06-28,Republic of Ireland,0,Norway,0,1
1994 FIFA Men's World Cup,1994,Group F,1994-06-29,Belgium,0,Saudi Arabia,1,1
1994 FIFA Men's World Cup,1994,Group F,1994-06-29,Morocco,1,Netherlands,2,1
1994 FIFA Men's World Cup,1994,Group D,1994-06-30,Argentina,0,Bulgaria,2,1
1994 FIFA Men's World Cup,1994,Group D,1994-06-30,Greece,0,Nigeria,2,1
1994 FIFA Men's World Cup,1994,round of 16,1994-07-02,Germany,3,Belgium,2,1
1994 FIFA Men's World Cup,1994,round of 16,1994-07-02,Spain,3,Switzerland,0,1
1994 FIFA Men's World Cup,1994,round of 16,1994-07-03,Romania,3,Argentina,2,1
1994 FIFA Men's World Cup,1994,round of 16,1994-07-03,Saudi Arabia,1,Sweden,3,1
1994 FIFA Men's World Cup,1994,round of 16,1994-07-04,Brazil,1,United States,0,1
1994 FIFA Men's World Cup,1994,round of 16,1994-07-04,Netherlands,2,Republic of Ireland,0,1
1994 FIFA Men's World Cup,1994,round of 16,1994-07-05,Mexico,1,Bulgaria,1,1
1994 FIFA Men's World Cup,1994,round of 16,1994-07-05,Nigeria,1,Italy,2,1
1994 FIFA Men's World Cup,1994,quarter-finals,1994-07-09,Italy,2,Spain,1,1
1994 FIFA Men's World Cup,1994,quarter-finals,1994-07-09,Netherlands,2,Brazil,3,1
1994 FIFA Men's World Cup,1994,quarter-finals,1994-07-10,Bulgaria,2,Germany,1,1
1994 FIFA Men's World Cup,1994,quarter-finals,1994-07-10,Romania,2,Sweden,2,1
1994 FIFA Men's World Cup,1994,semi-finals,1994-07-13,Bulgaria,1,Italy,2,1
1994 FIFA Men's World Cup,1994,semi-finals,1994-07-13,Sweden,0,Brazil,1,1
1994 FIFA Men's World Cup,1994,third-place match,1994-07-16,Sweden,4,Bulgaria,0,1
1994 FIFA Men's World Cup,1994,final,1994-07-17,Brazil,0,Italy,0,1
1995 FIFA Women's World Cup,1995,Group A,1995-06-05,Germany,1,Japan,0,1
1995 FIFA Women's World Cup,1995,Group A,1995-06-05,Sweden,0,Brazil,1,0
1995 FIFA Women's World Cup,1995,Group B,1995-06-06,England,3,Canada,2,1
1995 FIFA Women's World Cup,1995,Group B,1995-06-06,Norway,8,Nigeria,0,1
1995 FIFA Women's World Cup,1995,Group C,1995-06-06,Denmark,5,Australia,0,1
1995 FIFA Women's World Cup,1995,Group C,1995-06-06,United States,3,China,3,1
1995 FIFA Women's World Cup,1995,Group A,1995-06-07,Brazil,1,Japan,2,1
1995 FIFA Women's World Cup,1995,Group A,1995-06-07,Sweden,3,Germany,2,0
1995 FIFA Women's World Cup,1995,Group B,1995-06-08,Nigeria,3,Canada,3,1
1995 FIFA Women's World Cup,1995,Group B,1995-06-08,Norway,2,England,0,1
1995 FIFA Women's World Cup,1995,Group C,1995-06-08,China,4,Australia,2,1
1995 FIFA Women's World Cup,1995,Group C,1995-06-08,United States,2,Denmark,0,1
1995 FIFA Women's World Cup,1995,Group A,1995-06-09,Brazil,1,Germany,6,1
1995 FIFA Women's World Cup,1995,Group A,1995-06-09,Sweden,2,Japan,0,0
1995 FIFA Women's World Cup,1995,Group B,1995-06-10,Nigeria,2,England,3,1
1995 FIFA Women's World Cup,1995,Group B,1995-06-10,Norway,7,Canada,0,1
1995 FIFA Women's World Cup,1995,Group C,1995-06-10,China,3,Denmark,1,1
1995 FIFA Women's World Cup,1995,Group C,1995-06-10,United States,4,Australia,1,1
1995 FIFA Women's World Cup,1995,quarter-final,1995-06-13,Germany,3,England,0,1
1995 FIFA Women's World Cup,1995,quarter-final,1995-06-13,Japan,0,United States,4,1
1995 FIFA Women's World Cup,1995,quarter-final,1995-06-13,Norway,3,Denmark,1,1
1995 FIFA Women's World Cup,1995,quarter-final,1995-06-13,Sweden,1,China,1,0
1995 FIFA Women's World Cup,1995,semi-final,1995-06-15,Germany,1,China,0,1
1995 FIFA Women's World Cup,1995,semi-final,1995-06-15,United States,0,Norway,1,1
1995 FIFA Women's World Cup,1995,third-place match,1995-06-17,China,0,United States,2,1
1995 FIFA Women's World Cup,1995,final,1995-06-18,Germany,0,Norway,2,1
1998 FIFA Men's World Cup,1998,Group A,1998-06-10,Brazil,2,Scotland,1,1
1998 FIFA Men's World Cup,1998,Group A,1998-06-10,Morocco,2,Norway,2,1
1998 FIFA Men's World Cup,1998,Group B,1998-06-11,Cameroon,1,Austria,1,1
1998 FIFA Men's World Cup,1998,Group B,1998-06-11,Italy,2,Chile,2,1
1998 FIFA Men's World Cup,1998,Group C,1998-06-12,France,3,South Africa,0,0
1998 FIFA Men's World Cup,1998,Group C,1998-06-12,Saudi Arabia,0,Denmark,1,1
1998 FIFA Men's World Cup,1998,Group D,1998-06-12,Paraguay,0,Bulgaria,0,1
1998 FIFA Men's World Cup,1998,Group D,1998-06-13,Spain,2,Nigeria,3,1
1998 FIFA Men's World Cup,1998,Group E,1998-06-13,Netherlands,0,Belgium,0,1
1998 FIFA Men's World Cup,1998,Group E,1998-06-13,South Korea,1,Mexico,3,1
1998 FIFA Men's World Cup,1998,Group F,1998-06-14,Yugoslavia,1,Iran,0,1
1998 FIFA Men's World Cup,1998,Group H,1998-06-14,Argentina,1,Japan,0,1
1998 FIFA Men's World Cup,1998,Group H,1998-06-14,Jamaica,1,Croatia,3,1
1998 FIFA Men's World Cup,1998,Group F,1998-06-15,Germany,2,United States,0,1
1998 FIFA Men's World Cup,1998,Group G,1998-06-15,England,2,Tunisia,0,1
1998 FIFA Men's World Cup,1998,Group G,1998-06-15,Romania,1,Colombia,0,1
1998 FIFA Men's World Cup,1998,Group A,1998-06-16,Brazil,3,Morocco,0,1
1998 FIFA Men's World Cup,1998,Group A,1998-06-16,Scotland,1,Norway,1,1
1998 FIFA Men's World Cup,1998,Group B,1998-06-17,Chile,1,Austria,1,1
1998 FIFA Men's World Cup,1998,Group B,1998-06-17,Italy,3,Cameroon,0,1
1998 FIFA Men's World Cup,1998,Group C,1998-06-18,France,4,Saudi Arabia,0,0
1998 FIFA Men's World Cup,1998,Group C,1998-06-18,South Africa,1,Denmark,1,1
1998 FIFA Men's World Cup,1998,Group D,1998-06-19,Nigeria,1,Bulgaria,0,1
1998 FIFA Men's World Cup,1998,Group D,1998-06-19,Spain,0,Paraguay,0,1
1998 FIFA Men's World Cup,1998,Group E,1998-06-20,Belgium,2,Mexico,2,1
1998 FIFA Men's World Cup,1998,Group E,1998-06-20,Netherlands,5,South Korea,0,1
1998 FIFA Men's World Cup,1998,Group H,1998-06-20,Japan,0,Croatia,1,1
1998 FIFA Men's World Cup,1998,Group F,1998-06-21,Germany,2,Yugoslavia,2,1
1998 FIFA Men's World Cup,1998,Group F,1998-06-21,United States,1,Iran,2,1
1998 FIFA Men's World Cup,1998,Group H,1998-06-21,Argentina,5,Jamaica,0,1
1998 FIFA Men's World Cup,1998,Group G,1998-06-22,Colombia,1,Tunisia,0,1
1998 FIFA Men's World Cup,1998,Group G,1998-06-22,Romania,2,England,1,1
1998 FIFA Men's World Cup,1998,Group A,1998-06-23,Brazil,1,Norway,2,1
1998 FIFA Men's World Cup,1998,Group A,1998-06-23,Scotland,0,Morocco,3,1
1998 FIFA Men's World Cup,1998,Group B,1998-06-23,Chile,1,Cameroon,1,1
1998 FIFA Men's World Cup,1998,Group B,1998-06-23,Italy,2,Austria,1,1
1998 FIFA Men's World Cup,1998,Group C,1998-06-24,France,2,Denmark,1,0
1998 FIFA Men's World Cup,1998,Group C,1998-06-24,South Africa,2,Saudi Arabia,2,1
1998 FIFA Men's World Cup,1998,Group D,1998-06-24,Nigeria,1,Paraguay,3,1
1998 FIFA Men's World Cup,1998,Group D,1998-06-24,Spain,6,Bulgaria,1,1
1998 FIFA Men's World Cup,1998,Group E,1998-06-25,Belgium,1,South Korea,1,1
1998 FIFA Men's World Cup,1998,Group E,1998-06-25,Netherlands,2,Mexico,2,1
